# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	15	space	LINE	absent	16	homo	homo	NA	NA	absent	1015.63338202	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	16	space	LINE	absent	8	homo	homo	NA	NA	absent	768.872379966	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	17	space	LINE	absent	12	homo	homo	NA	NA	absent	912.100257003	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	18	space	LINE	present	16	homo	homo	NA	NA	present	1057.19038297	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	19	space	LINE	absent	12	homo	homo	NA	NA	absent	895.938162983	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	20	space	LINE	absent	16	homo	homo	NA	NA	absent	906.310194987	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	21	space	LINE	absent	8	homo	homo	NA	NA	absent	878.844705992	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	22	space	LINE	present	8	homo	homo	NA	NA	present	939.309477049	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	23	space	LINE	present	16	homo	homo	NA	NA	present	811.555856024	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	24	space	LINE	present	12	homo	homo	NA	NA	present	1025.45712399	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	25	space	LINE	present	16	homo	homo	NA	NA	present	752.19621195	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	26	space	LINE	absent	8	homo	homo	NA	NA	absent	771.580444998	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	27	space	LINE	absent	16	homo	homo	NA	NA	absent	1289.77041104	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	28	space	LINE	absent	12	homo	homo	NA	NA	absent	1074.94737697	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	29	space	LINE	present	12	homo	homo	NA	NA	present	705.691557028	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	30	space	LINE	present	8	homo	homo	NA	NA	present	813.922852976	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	31	space	LINE	absent	16	homo	homo	NA	NA	absent	1050.36623002	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	32	space	LINE	absent	12	homo	homo	NA	NA	absent	880.875311035	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	33	space	LINE	absent	8	homo	homo	NA	NA	absent	765.405321028	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	34	space	LINE	present	8	homo	homo	NA	NA	present	697.036716971	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	35	space	LINE	present	12	homo	homo	NA	NA	present	775.998313969	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	36	space	LINE	present	16	homo	homo	NA	NA	present	832.074281992	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	37	space	LINE	absent	8	homo	homo	NA	NA	absent	1183.99755901	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	38	space	LINE	absent	16	homo	homo	NA	NA	absent	1101.13810701	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	39	space	LINE	present	16	homo	homo	NA	NA	present	951.830686012	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	40	space	LINE	absent	12	homo	homo	NA	NA	absent	1009.28592705	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	41	space	LINE	present	12	homo	homo	NA	NA	present	664.019512013	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	42	space	LINE	present	8	homo	homo	NA	NA	present	741.826735961	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	43	space	LINE	absent	12	homo	homo	NA	NA	absent	794.672437012	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	44	space	LINE	present	12	homo	homo	NA	NA	present	710.304997978	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	45	space	LINE	present	8	homo	homo	NA	NA	present	570.026851958	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	46	space	LINE	absent	16	homo	homo	NA	NA	absent	1664.729818	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	47	space	LINE	present	16	homo	homo	NA	NA	present	1828.85481702	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	48	space	LINE	absent	8	homo	homo	NA	NA	absent	1331.64261503	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	49	space	LINE	absent	8	homo	homo	NA	NA	absent	1093.15969597	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	50	space	LINE	present	8	homo	homo	NA	NA	present	792.473256006	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	51	space	LINE	absent	16	homo	homo	NA	NA	absent	1046.81165703	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	52	space	LINE	present	12	homo	homo	NA	NA	present	724.721758976	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	53	space	LINE	absent	12	homo	homo	NA	NA	absent	750.534196966	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	54	space	LINE	present	16	homo	homo	NA	NA	present	892.057631048	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	55	space	LINE	absent	16	homo	homo	NA	NA	absent	802.213223011	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	56	space	LINE	present	16	homo	homo	NA	NA	present	721.650874009	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	57	space	LINE	absent	8	homo	homo	NA	NA	absent	902.106843016	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	58	space	LINE	present	8	homo	homo	NA	NA	present	520.528480003	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	59	space	LINE	present	12	homo	homo	NA	NA	present	546.736599004	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	9	60	space	LINE	absent	12	homo	homo	NA	NA	absent	900.076078018	NA	NA
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	1	time	LINE	present	NA	hetero	hetero	8	4425.16252934	NA	NA	absent	4512.28366495
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	2	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.42152499
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	3	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.981754
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	4	time	LINE	present	NA	hetero	hetero	5	3916.40672021	NA	NA	present	1319.73764498
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	5	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4510.45641198
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	6	time	LINE	present	NA	hetero	hetero	12	5083.64228102	NA	NA	absent	4503.46668996
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	7	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.17190301
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	8	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4504.14707401
7887a6b14dd638578f1d9ff763112b17de01e5f8	f	18	r	772773777	10	9	time	LINE	absent	NA	hetero	hetero	-1	NA	NA	NA	absent	4512.54619699
